Old Title,New Title,
Water Resources Manager,Water Resources Manager,15
Director of Water Resources,Water Resources Director,11
Maintenance Manager,Maintenance Manager,10
Asset Manager,Asset Manager,9
Utilities Manager,Utilities Manager,7
Water Distribution Supervisor,Water Distribution Supervisor,5
Operations Maintenance Manager,Operations & Maintenance Manager,3
Operations & Maintenance Manager,Operations & Maintenance Manager,3
Manager of Maintenance,Maintenance Manager,3
Manager of Water Resources,Water Resources Manager,3
General Pipe Supervisor,Pipeline Supervisor,2
"Manager, Rancho Seco Assets",Asset Manager,2
Lead Maint.,Maintenance Lead,2
Distribution System Supervisor,Distribution System Supervisor,2
Operations and Maintenance Manager,Operations & Maintenance Manager,2
Utilities Assistant General Manager of Water Delivery,Water Delivery Assistant GM,1
Manager of Electrical Substation Maintenance,,1
Water Planning and Resources Manager,Water Resources Planning Manager,1
Pump Maintenance Team Manager,,1
Utility Maintenance Unit Manager,Utility Maintenance Manager,1
Wastewater Collection System Supervisor,Wastewater Collection Supervisor,1
Assistant General Manager - Water Resources and Technical Services,Water Resources Assistant GM,1
Water Resources Technical Manager,Water Resources Technical Manager,1
"Manager Indirect Tax, Liberty Utilities",,1
Water Utilities Division Manager at City of Oceanside,Water Utilities Division Manager,1
Utilities Power Resources Manager - Power Contracts & Settlements,,1
Water Resources Supervisor,Water Resources Supervisor,1
Collection System Supervisor,Collection System Supervisor,1
Director of Water Resources and Flood Risk Reduction,Water Resources Director,1
Utilities Engineering Manager,Utilities Engineering Manager,1
Utilities Planning Manager,Utilities Planning Manager,1
Utilities Director/General Manager- City of Carlsbad/CMWD,Utilities General Manager,1
Manager of Water Resources Policy,Water Policy Manager,1
Collection System Manager,Collection System Manager,1
"Supervisor, Distribution Maintenance Manager",Distribution Maintenance Supervisor,1
Lead Water Distribution Worker,Water Distribution Lead,1
Assistant Director of Water Resources,Water Resources Assistant Director,1
Manager of Distribution System Operations,Distribution Operations Manager,1
Water Resource Planning Supervisor,Water Resources Planning Supervisor,1
Public Utilities Program Manager,Public Utilities Program Manager,1
Public Utilities Project Manager,Public Utilities Project Manager,1
Manager of Conveyance and Distirbution,Distribution & Conveyance Manager,1
Water Distribution Resiliency and Technology Manager,Water Distribution Technology Manager,1
"Deputy Director, Water Resources",Water Resources Deputy Director,1
Utilities Fiscal Manager,Utilities Finance Manager,1
Deputy Manager of Capital Improvement Program,Capital Improvement Deputy Manager,1
"Environmental Services Manager, Public Utilities",,1
Deputy Director of Maintenance Operations,Maintenance Operations Deputy Director,1
"Manager, Gas Pipeline Assets/ Gas Pipeline Operations",Gas Pipeline Asset Manager,1
Utilities General Manager,Utilities General Manager,1
Technical/regulatory Analyst - Collection System Manager,Collection System Manager,1
Director of Water and Natural Resources,Water Resources Director,1
Director of the Water Distribution Division,Water Distribution Director,1
Deputy Director of Water Resources,Water Resources Deputy Director,1
Water Manager Distribution - Victorville Water District,Water Distribution Manager,1
"Vice President, Water Resources Planning and Sustainability",Water Resources VP,1
Manager of Water Policy and Resources,Water Resources Policy Manager,1
Engineering Manager-Water Resources & Environmental,Water Resources Engineering Manager,1
Distribution Maintenance Division Manager,Distribution Maintenance Manager,1
Deputy Director - Water Distribution,Water Distribution Deputy Director,1
"Senior Manager, Pipeline Safety Management Systems (PSMS)",Pipeline Safety Senior Manager,1
Water Utility- Conveyance & Distribution Team Manager,Distribution Team Manager,1
Director of Water Resources and Regulatory Affairs,Water Resources Regulatory Director,1
Utilities Administrative and Finance Manager,Utilities Finance Manager,1
"Manager, Water Resources",Water Resources Manager,1
Manager of Water Distribution Planning Division,Distribution Planning Manager,1
Director of Engineering and Water Resources,Engineering & Water Director,1
Public Utilities Customer Care and Billing Manager,,1
Manager of Water System Capital Improvement Program and Asset Management,Water Capital Programs Manager,1
Business Manager Public Utilities,Utilities Business Manager,1
Water Operations Distribution Manager,Water Distribution Manager,1
Water Distribution Infrastructure Lead,Water Infrastructure Lead,1
Contract Maintenance Manager,Contract Maintenance Manager,1
Section Manager: Conveyance & Distribution,Distribution Section Manager,1
"Manager, Operations & Maintenance",Operations & Maintenance Manager,1
Senior Water Distribution Supervisor,Senior Distribution Supervisor,1
Utilities Asst. General Manager - Resources,Utilities Resources Assistant GM,1
Electric Division Manager: System Planning & Asset Management,,1
Water Resources Planning and Policy Manager,Water Resources Policy Manager,1
Utilities Business Systems Manager,Utilities Systems Manager,1
Utilities Services Manager,Utilities Services Manager,1
Mechanical Maintenance Team Manager,,1
"Policy and Compliance Manager, Environmental Utilities Department",Utilities Compliance Manager,1
Maintenance Division Manager,Maintenance Division Manager,1
Integrated Resources Planner Reporting to Anaheim Public Utilities Manager of Power Supply,Utilities Resource Planner,1
"Manager, Substation Maintenance",,1
Financial Analyst/ Project Manager,Financial Project Manager,1
Water Resources Management and Planning Director,Water Resources Planning Director,1
Supervisor Distribution System Planning,Distribution Planning Supervisor,1
Wastewater Collection/Flood Control Manager,Wastewater Collection Manager,1
Accounting Manager at Liberty Utilities,Utilities Accounting Manager,1
"Utilities Assistant General Manager, Energy Delivery",,1
Maintenance & Operations Department Manager,Maintenance & Operations Manager,1
Complaiance and Asset Manager,Compliance & Asset Manager,1
Collection System Division Manager,Collection System Manager,1
Senior Environmental Project Manager at San Francisco Public Utilities Commission,Senior Environmental Project Manager,1
Project Manager (Pipeline Rehabilitation PM Team),Pipeline Rehabilitation Project Manager,1
Civil Engineering Manager in Water Resources,Water Resources Engineering Manager,1
Operations Projects & Asset Management - Unit Manager,Operations Asset Manager,1
Tank & Pipeline Infrastructure Supervisor,Tank & Pipeline Supervisor,1
Operations & Maintenance Manager-Generation,,1
Water Resources Planning Manager,Water Resources Planning Manager,1
Public Utilities Maintenance Manager,Public Utilities Maintenance Manager,1
