
Name,Website,Category,Classification,Notes
Metropolitan Water District of Southern California,https://www.mwdh2o.com,Wholesale water district,Large wholesale agency,Serves 26 member agencies supplying water to nearly 19 million peoplehttps://www.mwdh2o.com/our-story/#:~:text=URL%20copied
Metropolitan Water District of Southern California (repeated),https://www.mwdh20.com,Wholesale water district,CMUA & ACWA member,Supplies water to nearly 19 million peoplehttps://www.mwdh2o.com/our-story/#:~:text=URL%20copied
San Diego County Water Authority (SDCWA),https://www.sdcwa.org,Wholesale water district,Large wholesale,"Provides imported water supply to 3.3 million residentshttps://www.sdstemecosystem.org/partners/partner-detail/297#:~:text=The%20San%20Diego%20County%20Water,Historically%2C%20the%20Water"
San Diego County Water Authority (repeated),https://www.sdcwa.org,Wholesale water district,CMUA & ACWA member,"Provides imported water supply to 3.3 million residentshttps://www.sdstemecosystem.org/partners/partner-detail/297#:~:text=The%20San%20Diego%20County%20Water,Historically%2C%20the%20Water"
San Francisco Public Utilities Commission (SFPUC),https://sfwater.org,Municipal utility,Large municipal,Provides water and wastewater service to ~2.7 million people
Orange County Water District (OCWD),https://www.ocwd.com,Community‑owned groundwater agency,Large municipal,"Manages groundwater supply for 19 cities serving 2.5 million peoplehttps://www.ocwd.com/about/#:~:text=The%20Orange%20County%20Water%20District,in%201933%2C%20the%20District%20has"
California Water Service Company,https://www.calwater.com,Investor‑owned water utility,Class A (large; >10k connections),"Serves about two million people through ~497 k connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=24%2C128%20California,April%2021%2C%202025"
Santa Clara Valley Water District (Valley Water),https://www.valleywater.org,Community‑owned utility,Large wholesale,Wholesale water provider for ~2 million residents
East Bay Municipal Utility District (EBMUD),https://www.ebmud.com,Community‑owned utility,Large municipal,"Provides drinking water to 1.4 million customers and wastewater service to 740k customershttps://www.ebmud.com/about-us/who-we-are#:~:text=EBMUD%20has%20a%20proud%20history,public%20agency%20established%20in%201923"
San Diego Public Utilities Department,https://www.sandiego.gov/public-utilities,Municipal utility,Large municipal,Provides water and wastewater service to the City of San Diego (~1.4 million people)
East Bay Municipal Utility District (repeated),https://www.ebmud.com,Community‑owned utility,CMUA & ACWA member,"Serves water to 1.4 million customershttps://www.ebmud.com/about-us/who-we-are#:~:text=EBMUD%20has%20a%20proud%20history,public%20agency%20established%20in%201923"
Eastern Municipal Water District (EMWD),https://www.emwd.org,Community‑owned utility,Large municipal,"Serves nearly one million people over 682 square mileshttps://www.emwd.org/#:~:text=Eastern%20Municipal%20Water%20District%20,%E2%80%9D"
Eastern Municipal Water District (repeated),https://www.emwd.org,Community‑owned utility,CMUA & ACWA member,"Serves nearly one million peoplehttps://www.emwd.org/#:~:text=Eastern%20Municipal%20Water%20District%20,%E2%80%9D"
Los Angeles Department of Water and Power (LADWP),https://www.ladwp.com,Community‑owned municipal utility,Large municipal,"Delivers ~146 billion gallons per year to ~740 k connectionshttps://www.ladwp.com/who-we-are/water-system#:~:text=responsible%20manner,history%20of%20water%20resources%20management"
Contra Costa Water District (CCWD),https://www.ccwater.com,Community‑owned utility,Large municipal,"Delivers water to about 550k peoplehttps://www.ccwater.com/280/District-Profile#:~:text=Contra%20Costa%20Water%20District%20delivers,Costa%20County%20in%20Northern%20California"
Contra Costa Water District (repeated),https://www.ccwater.com,Community‑owned utility,CMUA & ACWA member,"Delivers water to 550k residentshttps://www.ccwater.com/280/District-Profile#:~:text=Contra%20Costa%20Water%20District%20delivers,Costa%20County%20in%20Northern%20California"
Central Contra Costa Sanitary District (Central San),https://www.centralsan.org,Community‑owned sanitary district,Large municipal,"Treats >13 billion gallons of wastewater annually for ~500k residentshttps://www.centralsan.org/post/service-area-statistics#:~:text=Central%20San%C2%A0collects%20and%20cleans%20more,in%20central%20Contra%20Costa%20County"
Irvine Ranch Water District (IRWD),https://www.irwd.com,Community‑owned utility,Large municipal,"Serves ~370k people with ~105k connectionswww.irwd.com/images/pdf/about-us/IRWD-FactSheet-8-14.pdf#:~:text=than%20340%2C000%20residents%20in%20Central,in%201961%20as%20an%20independentwww.irwd.com/images/pdf/about-us/IRWD-FactSheet-8-14.pdf#:~:text=%E2%80%A2%20%20%20%20Size,Employees%3A%20304"
Irvine Ranch Water District (repeated),https://www.irwd.com,Community‑owned utility,CMUA & ACWA member,"Serves 370k residentswww.irwd.com/images/pdf/about-us/IRWD-FactSheet-8-14.pdf#:~:text=than%20340%2C000%20residents%20in%20Central,in%201961%20as%20an%20independent"
Coachella Valley Water District (CVWD),https://www.cvwd.org,Community‑owned utility,Large municipal,"Provides domestic and irrigation water to about 225k residentsfco.org/wp-content/uploads/documents/archives/3.CoachellaVly.MSR.Final.pdf#:~:text=The%20Coachella%20Valley%20Water%20District%E2%80%99s,and%20the%20State%20Water%20Project"
San Bernardino Municipal Water Department,https://www.sbcitywater.org,Municipal utility,Medium municipal,"Serves ~215k residents across 45 square mileshttps://www.publicceo.com/2025/12/san-bernardino-municipal-water-department-celebrates-120-years-of-service/#:~:text=but%20growing%20community%20with%20a,utility%20costs%20and%20saving%20water"
San Bernardino Municipal Water Department (repeated),https://www.sbmwd.org,Municipal utility,CMUA & ACWA member,"Serves ~215k residentshttps://www.publicceo.com/2025/12/san-bernardino-municipal-water-department-celebrates-120-years-of-service/#:~:text=but%20growing%20community%20with%20a,utility%20costs%20and%20saving%20water"
Mesa Water District,https://www.mesawater.org,Community‑owned utility,Medium municipal,"Serves 110k residents in Costa Mesa and Newport Beachwww.ocwd.com/wp-content/uploads/mesa-water.pdf#:~:text=Mesa%20Water%20District%20,OCWD"
Mesa Water District (repeated),https://www.mesawater.org,Community‑owned utility,CMUA & ACWA member,"Serves 110k residentswww.ocwd.com/wp-content/uploads/mesa-water.pdf#:~:text=Mesa%20Water%20District%20,OCWD"
Lukins Brothers Water Company,https://lukinsbrotherswater.com,Investor‑owned water utility,Class C (500–2000 connections),"Approximately 996 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Lukins%20Brothers%20Water%20Company%20996,774"
City of Santa Barbara Water,https://santabarbaraca.gov/utility-services/water,Municipal utility,Medium municipal,"Serves a population of ~96 kianceforwaterefficiency.org/wp-content/uploads/2024/09/An-Assessment-of-Water-Affordability-Conservation-Potential-in-the-City-of-Santa-Barbara-CA.pdf#:~:text=1,The%20City"
City of Santa Barbara (repeated),https://www.santabarbaraca.gov,Municipal utility,ACWA & CMUA member,"Provides water service to ~96k residentsianceforwaterefficiency.org/wp-content/uploads/2024/09/An-Assessment-of-Water-Affordability-Conservation-Potential-in-the-City-of-Santa-Barbara-CA.pdf#:~:text=1,The%20City"
Goleta Water District,https://www.goletawater.com,Community‑owned utility,Medium municipal,"Provides water to about 87k customershttps://www.goletawater.com/about-the-district/facts-and-figures/#:~:text=The%20Goleta%20Water%20District%20provides,of%20pipeline%20to%20provide%20water"
Las Virgenes Municipal Water District (LVMWD),https://www.lvmwd.com,Community‑owned utility,Medium municipal,"Serves around 70k residents in the Santa Monica Mountains regionhttps://municipalwaterleader.com/providing-water-amid-fire/#:~:text=L%20as%20Virgenes%20Municipal%20Water,also%20providing%20water%20to%20firefighters"
Las Virgenes Municipal Water District (repeated),https://www.lvmwd.com,Community‑owned utility,CMUA & ACWA member,"Serves ~70k residentshttps://municipalwaterleader.com/providing-water-amid-fire/#:~:text=L%20as%20Virgenes%20Municipal%20Water,also%20providing%20water%20to%20firefighters"
Las Virgenes Municipal Water District (repeated),https://www.lvmwd.com,Community‑owned utility,ACWA & CMUA member,"Serves ~70k residentshttps://municipalwaterleader.com/providing-water-amid-fire/#:~:text=L%20as%20Virgenes%20Municipal%20Water,also%20providing%20water%20to%20firefighters"
Alisal Water Corporation (Alco Water Service),https://www.alcowater.org,Investor‑owned water utility,Class B (2k–10k connections),"9147 connections; serves Salinas areawww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=9%2C147%2024%2C992%20264%2C226%20TOTAL%20SEWER,Company%206%2C900%20Total%20Class%20B"
Searles Domestic Water Company,https://www.sce.com/about-us/community/water-services,Investor‑owned water utility,Class C (500–2000 connections),"Provides water on Santa Catalina Islandwww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Rogina%20Water%20Company%20Sea%20Ranch,Tahoe%20Park%20Water%20Company%201%2C945"
Orange County Water District (repeated),https://www.ocwd.com,Community‑owned utility,CMUA & ACWA member,"Manages groundwater for 19 citieshttps://www.ocwd.com/about/#:~:text=The%20Orange%20County%20Water%20District,in%201933%2C%20the%20District%20has"
Bakman Water Company,https://www.bakmanwater.com,Investor‑owned water utility,Class B (2k–10k connections),"Approximately 3048 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Bakman%20Water%20Company%203%2C048%20Del,Company%206%2C900%20Total%20Class%20B"
Del Oro Water Company,https://www.delorowater.com,Investor‑owned water utility,Class B (2k–10k connections),"Approximately 6900 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Bakman%20Water%20Company%203%2C048%20Del,Company%206%2C900%20Total%20Class%20B"
Liberty Utilities (Apple Valley Ranchos Water),https://california.libertyutilities.com/apple-valley/residential,Investor‑owned water utility,Class A (large; >10k connections),"109541 service connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=109%2C541%2030%2C321%20,Alco%20Water%20Service"
California American Water Company,https://www.amwater.com/caaw,Investor‑owned water utility,Class A (large; >10k connections),"Large investor‑owned water utility serving multiple California districtswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=24%2C128%20California,April%2021%2C%202025"
Golden State Water Company,https://www.gswater.com,Investor‑owned water utility,Class A (large; >10k connections),"Investor‑owned utility serving many communitieswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=24%2C128%20California,April%2021%2C%202025"
Great Oaks Water Company,https://greatoakswater.com,Investor‑owned water utility,Class A (large; >10k connections),"Investor‑owned utility serving Santa Clara Countywww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Great%20Oaks%20Water%20Company%201%2C502%2C153,Systems%20San%20Jose%20Water%20Company"
Liberty Utilities (Park Water),https://california.libertyutilities.com/west-region/residential/water.html,Investor‑owned water utility,Class A (large; >10k connections),"Provides water service in Compton, Lynwood and parts of Los Angeles Countywww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Suburban%20Water%20Systems%20San%20Jose,April%2021%2C%202025"
San Gabriel Valley Water Company,https://www.sgwater.com,Investor‑owned water utility,Class A (large; >10k connections),"Investor‑owned utility serving the San Gabriel Valley and San Bernardino Countywww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Suburban%20Water%20Systems%20San%20Jose,San%20Gabriel%20Valley%20Water%20Company"
San Jose Water Company,https://www.sjwater.com,Investor‑owned water utility,Class A (large; >10k connections),"Provides water service in San Jose and surrounding areaswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Suburban%20Water%20Systems%20San%20Jose,San%20Gabriel%20Valley%20Water%20Company"
Suburban Water Systems,https://www.suburbanwater.com,Investor‑owned water utility,Class A (large; >10k connections),"Serves parts of Los Angeles and Orange countieswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Suburban%20Water%20Systems%20San%20Jose,San%20Gabriel%20Valley%20Water%20Company"
Riverside Public Utilities Department,https://www.riversidepublicutilities.com,Community‑owned utility,CMUA & ACWA member,"Provides water and electric service for Riversidehttps://www.ccwater.com/280/District-Profile#:~:text=Contra%20Costa%20Water%20District%20delivers,Costa%20County%20in%20Northern%20California"
Bay Area Water Supply & Conservation Agency,https://www.bawsca.org,Joint powers authority,ACWA member,Represents 26 Bay Area wholesale customers
San Gabriel Valley Municipal Water District,https://www.sgvmwd.org,Community‑owned utility,Medium wholesale,"Provides supplemental water to Alhambra, Azusa, Monterey Park and Sierra Madrehttps://www.acwa.com/news/san-gabriel-valley-municipal-water-district-welcomes-new-general-manager-jose-reynoso/#:~:text=About%20the%20San%20Gabriel%20Valley,Municipal%20Water%20District"
Byron‑Bethany Irrigation District,https://bbid.org,Community‑owned utility,CMUA & ACWA member,"Irrigation district serving agricultural lands and citieshttps://www.cmua.org/members#:~:text=,Flood%20Control%20and%20Conservation%20District"
Camrosa Water District,https://www.camrosa.com,Community‑owned utility,CMUA & ACWA member,"Water district in Ventura Countyhttps://www.cmua.org/members#:~:text=,Flood%20Control%20and%20Conservation%20District"
Coachella Valley Water District (repeated),https://www.cvwd.org,Community‑owned utility,CMUA & ACWA member,"Irrigation and domestic water districthttps://www.cmua.org/members#:~:text=,Flood%20Control%20and%20Conservation%20District"
South San Joaquin Irrigation District,https://www.ssjid.com,Community‑owned utility,CMUA & ACWA member,"Provides irrigation water and powerhttps://www.cmua.org/members#:~:text=,Flood%20Control%20and%20Conservation%20District"
Los Angeles Department of Water & Power (repeated),https://www.ladwp.com,Community‑owned utility,ACWA & CMUA member,"Provides water and power to LAhttps://www.ladwp.com/who-we-are/water-system#:~:text=responsible%20manner,history%20of%20water%20resources%20management"
Sacramento County Water Agency,https://www.scwa.net,Community‑owned utility,Large municipal,Provides water supply in Sacramento County
Sacramento Suburban Water District,https://www.sswd.org,Community‑owned utility,Medium municipal,Provides water service to unincorporated areas of Sacramento County
Alameda Municipal Power,https://www.alamedamp.com,Community‑owned utility,CMUA member,City‑owned electric and water utility (CMUA)
Anaheim Public Utilities,https://www.anaheim.net,Community‑owned utility,CMUA member,Provides electric and water service for the City of Anaheim
Azusa Light & Water,https://www.ci.azusa.ca.us,Community‑owned utility,CMUA member,City of Azusa water and electric utility
Balancing Authority of Northern California,https://www.thebanc.org,Community‑owned authority,CMUA member,Joint powers agency managing energy balancing
City of Banning Electric Utility,https://www.banning.ca.us,Community‑owned utility,CMUA member,Provides water and electric service for Banning
Burbank Water & Power,https://www.burbankwaterandpower.com,Community‑owned utility,CMUA member,Provides water and electricity to Burbank
City of Cerritos,https://www.cerritos.us,Community‑owned utility,CMUA member,City utility services (water and sewer)
