
Name,Phone,Website,Estimated Fleet Size
Enterprise (Enterprise Rent-A-Car),650-697-9200,https://www.enterprise.com,2300000
Hertz,650-624-6600,https://www.hertz.com,590000
Avis,650-877-6780,https://www.avis.com,735841
Budget,650-877-0998,https://www.budget.com,735841
Alamo,650-616-2400,https://www.alamo.com,2300000
National Car Rental,650-616-3000,https://www.nationalcar.com,2300000
Dollar Rent A Car,650-244-4131,https://www.dollar.com,590000
Thrifty Car Rental,650-283-0898,https://www.thrifty.com,590000
Sixt,415-658-9800,https://www.sixt.com,357100
Fox Rent-A-Car,415-917-2713,https://www.foxrentacar.com,24770
Zipcar,866-494-7227,https://www.zipcar.com,12000
Getaround,866-438-2768,https://www.getaround.com,75000
Turo,415-965-4525,https://www.turo.com,350000
GIG Car Share,800-464-0889,https://gigcarshare.com,1000
Free2move,888-625-2549,https://www.free2move.com,10000
UPS,404-828-6000,https://www.ups.com,128000
FedEx,800-463-3339,https://www.fedex.com,210000
Amazon (delivery vans),888-280-4331,https://www.amazon.com,30000
AT&T,800-331-0500,https://www.att.com,75000
Verizon,800-922-0204,https://www.verizon.com,30445
PepsiCo,800-963-2424,https://www.pepsico.com,70000
Waste Management (WM),800-796-9696,https://www.wm.com,25000
Republic Services,800-789-3433,https://www.republicservices.com,19000
Quanta Services,713-629-7600,https://www.quantaservices.com,18000
State Farm,800-782-8332,https://www.statefarm.com,12000
Comcast (Xfinity),800-934-6489,https://www.xfinity.com,30000
CenturyLink,800-347-1991,https://www.centurylink.com,15424
Aramark,855-273-3835,https://www.aramark.com,10000
Cox Communications,800-234-3993,https://www.cox.com,12170
Charter Communications (Spectrum),888-369-2408,https://www.spectrum.com,35956
Dish Network,800-333-3474,https://www.dish.com,3600
Windstream Communications,800-347-1991,https://www.windstream.com,4770
Cablevision Systems (Optimum),877-694-9474,https://www.optimum.com,4037
Sprint (now T-Mobile),888-211-4727,https://www.t-mobile.com,2961
