"Name","Phone","Website","Estimated Fleet Size"
"Recology Sunset Scavenger (SF)","415-330-1300","https://www.recology.com/recology-san-francisco/","300"
"Recology Golden Gate (SF)","415-626-4000","https://www.recology.com/recology-san-francisco/recology-golden-gate/","200"
"Norcal Waste Systems (SF)","415-330-1800","https://www.recology.com/","120"
"South San Francisco Scavenger Co. / Blue Line Transfer","650-589-4020","https://ssfscavenger.com/","80"
"Marin Sanitary Service","415-456-2601","https://marinsanitaryservice.com/","90"
"GreenWaste Recovery (San Jose)","408-283-4800","https://www.greenwaste.com/","150"
"Zanker Recycling (San Jose)","408-263-2384","http://www.zankerrecycling.com/","100"
"California Waste Solutions (Oakland)","510-625-5263","https://calwaste.com/oakland/","120"
"Golden Gate Petroleum","800-244-4516","https://ggpetroleum.com/","60"
"Century Commercial Service","800-522-1004","https://centuryservice.com/","150"
"Bellows Plumbing, Heating, Cooling & Electrical","877-477-7151","https://www.bellowsservice.com/","200"
"Mike Counsil Plumbing and Rooter","408-617-9486","https://www.mcplumbing.com/","50"
"Water Heaters Only, Inc.","833-379-8800","https://waterheatersonly.com/","100"
"Dewey Pest Control (San Francisco)","415-468-6662","https://deweypest.com/location/san-francisco/","40"
"A-1 Guaranteed Heating & Air Conditioning","888-421-2473","https://www.a-1guaranteed.com/","80"
"1800 Cool Aid Heating & Air Conditioning","800-266-5243","https://1800coolaid.com/","60"
"Peninsula Building Materials (PBM)","877-282-0522","https://pbm1923.com/","50"
"Coast Truck Rental","415-282-6200","https://coasttruckrental.com/","60"
"Bauer’s Intelligent Transportation","866-533-2035","https://bauersit.com/","300"
"Lux Bus America (NorCal office)","877-542-2215","https://luxbusamerica.com/","120"
"Pure Luxury Transportation","800-626-5466","https://www.pureluxury.com/","87"
"Royal Ambulance","877-995-6161","https://www.royalambulance.com/","150"
"Veritable Vegetable","415-641-3500","https://veritablevegetable.com/","50"
"Good Eggs","415-483-7344","https://about.goodeggs.com/contact","80"
"Bi-Rite Catering & Commissary Kitchen","415-321-8070","https://biritemarket.com/locations/","30"
"One Big Man & One Big Truck Moving","415-821-9697","https://www.onebigman.com/","30"
"Gentle Giant Moving (SF)","415-544-7000","https://www.gentlegiant.com/locations/ca/san-francisco/moving-company.html","40"
"Webcor Builders (SF)","415-978-1000","https://www.webcor.com/contact-form","60"
"Swinerton (Bay Area)","415-984-1216","https://swinerton.com/","83"
"Ghilotti Construction Company","707-585-1221","https://www.ghilotti.com/contact-us/","70"
"Graniterock","831-768-2000","https://www.graniterock.com/about-us/contact-us","200"
