jobTitle,count,newJobTitle
Director of Water Resources,9,
Water Resources Manager,8,
Maintenance Manager,6,
Water Distribution Supervisor,4,
Asset Manager,3,
Utilities Manager,2,
Manager of Water Resources,2,
Maintenance Division Manager,2,
Operations Maintenance Manager,2,
Water Resources Planning Manager,1,
"Deputy Director, Water Resources",1,
Company Owner,1,
Civil Engineering Manager in Water Resources,1,
Deputy Director of Maintenance Operations,1,
Engineering Manager-Water Resources & Environmental,1,
Utility Maintenance Unit Manager,1,
Director of Water and Natural Resources,1,
Water Manager Distribution - Victorville Water District,1,
"Senior Manager, Pipeline Safety Management Systems (PSMS)",1,
Assistant General Manager - Water Resources and Technical Services,1,
Water Resources Technical Manager,1,
Director of Engineering and Water Resources,1,
Chairman,1,
Manager of Water Policy and Resources,1,
Water Resources Management and Planning Director,1,
Director of Water Resources and Regulatory Affairs,1,
Asset Manager Rancho Secco,1,
Utilities Director/General Manager- City of Carlsbad/CMWD,1,
Operations & Maintenance Manager - Asset Management,1,
Water Resources Planning and Policy Manager,1,
Senior Water Resources Specialist,1,
Complaiance and Asset Manager,1,
Public Utilities Maintenance Manager,1,
Utilities Assistant General Manager/ Water Delivery,1,
Water Utilities Division Manager at City of Oceanside,1,
Deputy Director - Water Distribution,1,
Operations and Maintenance Manager,1,
Public Utilities Project Manager,1,
Business Manager Public Utilities,1,
Utilities Assistant General Manager of Water Delivery,1,
"Policy and Compliance Manager, Environmental Utilities Department",1,
Manager of Water Distribution Planning Division,1,
Accounting Manager,1,
Project Manager (Pipeline Rehabilitation PM Team),1,
Electric Utility Manager,1,
Operations & Maintenance Manager,1,
Utilities Planning Manager,1,
President,1,
Director of the Water Distribution Division,1,
Utilities Business Systems Manager,1,
Senior water distribution Supervisor,1,
Utilities Fiscal Manager,1,
"Vice President, Water Resources Planning and Sustainability",1,
Utilities Services Manager,1,
Distribution Maintenance Division Manager,1,
Integrated Resources Planner Reporting to Anaheim Public Utilities Manager of Power Supply,1,
Jr Administrative Analyst,1,
Distribution System supervisor,1,
Asset Manager - Airports Division,1,
Water Resources Director,1,
Retired,1,
Supervisor Distribution System Planning,1,
Deputy Director of Water Resources,1,
"Manager,  Gas Pipeline Assets/ Gas Pipeline Operations",1,
Utilities Administrative and Finance Manager,1,
water resources supervisor,1,
Operations Projects & Asset Management - Unit Manager,1,
